time,action,ritc_qty,ritc_action,bull_qty,bull_action,bear_qty,bear_action,profit_cad
2025-09-16T20:43:38-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,113.84
2025-09-16T20:43:39-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,83.22
2025-09-16T20:43:39-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,166.89
2025-09-16T20:43:39-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,166.89
2025-09-16T20:43:40-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,166.89
2025-09-16T20:43:40-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,176.62
2025-09-16T20:43:40-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,187.57
2025-09-16T20:43:41-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,107.57
2025-09-16T20:43:41-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,90.51
2025-09-16T20:43:41-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,60.51
2025-09-16T20:43:42-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,60.51
2025-09-16T20:43:42-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,328.56
2025-09-16T20:43:43-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,123.62
2025-09-16T20:43:43-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,123.62
2025-09-16T20:43:43-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,89.50
2025-09-16T20:43:44-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,89.50
2025-09-16T20:43:45-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,112.61
2025-09-16T20:43:45-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,112.61
2025-09-16T20:43:46-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,102.61
2025-09-16T20:43:46-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,83.12
